id;name;phone;address
1;Assistant;"2833732680";functionalities
2;sky blue Consultant Malta;"4767919174";fuchsia Administrator Gorgeous
3;copying artificial intelligence Lilangeni;"3858607724";Licensed
4;Kids;"1736869016";Pine COM Rhode Island
5;Handcrafted Auto Loan Account;"4515182717";deposit Future
6;transmitting Home Loan Account;"4930249604";Stravenue overriding Designer
7;Ball invoice;"+107106729608";Analyst
8;Tala backing up Personal Loan Account;"+661 4964499028";reboot
9;Shirt quantify;"+847 7159902470";neural Games orange
10;multi-byte hard drive Loaf;"+5 5411618441";backing up
