id;name;card_type;card_number;date_time;successful
1;Soap Guernsey;hacking haptic;Polarised;2020-05-05T20:18:19;false
2;Wooden;harness solid state;overriding back up;2020-05-05T13:26:21;false
3;Skyway;hack;matrix;2020-05-04T23:50:22;true
4;Accountability;tan Incredible Belarussian Ruble;Keyboard;2020-05-05T19:26:28;false
5;Avon payment;Sleek empower Functionality;Soft redundant;2020-05-05T16:42:04;false
6;Steel Secured Dominican Republic;target throughput;Nigeria compressing leading edge;2020-05-05T01:02:26;false
7;viral;task-force Legacy;Usability Comoros;2020-05-05T03:48:29;true
8;fuchsia whiteboard Handmade Metal Soap;GB synergies;Slovenia;2020-05-05T16:55:16;false
9;user-centric Awesome;Metrics connecting Awesome Rubber Fish;New Zealand Islands Illinois;2020-05-05T21:50:43;true
10;deposit connecting Kids;Accountability Cedi;protocol Accounts optical;2020-05-05T04:03:49;true
