id;name;phone;address
1;Azerbaijanian Manat South Carolina;"5491385936";Sleek Soft Sausages Synchronised Central
2;Money Market Account;"5728787253";withdrawal
3;generate Silver;"+520-6159850894";solid state Mouse Steel
4;Pakistan Rupee primary matrix;"+904726201472";Shoes Movies
5;Virgin Islands, U.S.;"+312-4138823334";Shoes Generic
6;context-sensitive Ergonomic Soft Towels Coordinator;"9314881886";synthesizing
7;Credit Card Account interface New Hampshire;"7828739511";Public-key
8;Integration transform;"+75087993864";Plastic zero tolerance
9;Borders Gorgeous Soft Bike;"0811167937";bandwidth convergence
10;interface;"+820104376190";Director Credit Card Account
